Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,286.3,-89.35,180,bottom
C2,100nF,C_0805_2012Metric,296.15,-87,90,bottom
C3,100nF,C_0805_2012Metric,299.1,-96.38125,0,bottom
C4,4.7uF,C_0805_2012Metric,299.1,-98.45,0,bottom
C5,4.7uF,C_0805_2012Metric,298.25,-87,90,bottom
C6,10nF,C_0805_2012Metric,287.25,-100.5,-90,bottom
C7,1uF,C_0805_2012Metric,285.15,-100.5,-90,bottom
C10,1uF,C_0805_2012Metric,271.5,-67.85,180,bottom
C11,1uF,C_0805_2012Metric,270.55625,-74.05,180,bottom
C12,4.7uF,C_0805_2012Metric,300.9875,-111.95,0,bottom
C13,1uF,C_0805_2012Metric,295.75,-118.15,-90,bottom
D1,1N4148W,D_SOD-123,1.375,-54.8,90,bottom
D2,1N4148W,D_SOD-123,20.425,-54.8,90,bottom
D3,1N4148W,D_SOD-123,39.475,-54.8,90,bottom
D4,1N4148W,D_SOD-123,58.525,-54.8,90,bottom
D5,1N4148W,D_SOD-123,77.575,-54.8,90,bottom
D6,1N4148W,D_SOD-123,96.625,-54.8,90,bottom
D7,1N4148W,D_SOD-123,115.675,-54.8,90,bottom
D8,1N4148W,D_SOD-123,134.725,-54.8,90,bottom
D9,1N4148W,D_SOD-123,153.775,-54.8,90,bottom
D10,1N4148W,D_SOD-123,172.825,-54.8,90,bottom
D11,1N4148W,D_SOD-123,191.875,-54.8,90,bottom
D12,1N4148W,D_SOD-123,210.925,-54.8,90,bottom
D13,1N4148W,D_SOD-123,228.784375,-54.8,90,bottom
D14,1N4148W,D_SOD-123,293.078125,-54.8,90,bottom
D15,1N4148W,D_SOD-123,6.1375,-73.85,90,bottom
D16,1N4148W,D_SOD-123,29.95,-73.85,90,bottom
D17,1N4148W,D_SOD-123,49,-73.85,90,bottom
D18,1N4148W,D_SOD-123,68.05,-73.85,90,bottom
D19,1N4148W,D_SOD-123,87.1,-73.85,90,bottom
D20,1N4148W,D_SOD-123,106.15,-73.85,90,bottom
D21,1N4148W,D_SOD-123,125.2,-73.85,90,bottom
D22,1N4148W,D_SOD-123,144.25,-73.85,90,bottom
D23,1N4148W,D_SOD-123,163.3,-73.85,90,bottom
D24,1N4148W,D_SOD-123,182.35,-73.85,90,bottom
D25,1N4148W,D_SOD-123,201.4,-73.85,90,bottom
D26,1N4148W,D_SOD-123,220.45,-73.85,90,bottom
D27,1N4148W,D_SOD-123,239.5,-73.85,90,bottom
D28,1N4148W,D_SOD-123,290.696875,-56.45,90,bottom
D29,1N4148W,D_SOD-123,302.3025,-62.675,0,bottom
D30,1N4148W,D_SOD-123,8.51875,-92.9,90,bottom
D31,1N4148W,D_SOD-123,34.7125,-92.9,90,bottom
D32,1N4148W,D_SOD-123,53.7625,-92.9,90,bottom
D33,1N4148W,D_SOD-123,72.8125,-92.9,90,bottom
D34,1N4148W,D_SOD-123,91.8625,-92.9,90,bottom
D35,1N4148W,D_SOD-123,110.9125,-92.9,90,bottom
D36,1N4148W,D_SOD-123,129.9625,-92.9,90,bottom
D37,1N4148W,D_SOD-123,149.0125,-92.9,90,bottom
D38,1N4148W,D_SOD-123,168.0625,-92.9,90,bottom
D39,1N4148W,D_SOD-123,187.1125,-92.9,90,bottom
D40,1N4148W,D_SOD-123,206.1625,-92.9,90,bottom
D41,1N4148W,D_SOD-123,224.021875,-92.9,90,bottom
D42,1N4148W,D_SOD-123,290.696875,-73.85,90,bottom
D43,1N4148W,D_SOD-123,44.2375,-111.95,90,bottom
D44,1N4148W,D_SOD-123,63.2875,-111.95,90,bottom
D45,1N4148W,D_SOD-123,82.3375,-111.95,90,bottom
D46,1N4148W,D_SOD-123,101.3875,-111.95,90,bottom
D47,1N4148W,D_SOD-123,120.4375,-111.95,90,bottom
D48,1N4148W,D_SOD-123,139.4875,-111.95,90,bottom
D49,1N4148W,D_SOD-123,158.5375,-111.95,90,bottom
D50,1N4148W,D_SOD-123,177.5875,-111.95,90,bottom
D51,1N4148W,D_SOD-123,196.6375,-111.95,90,bottom
D52,1N4148W,D_SOD-123,214.496875,-111.95,90,bottom
D53,1N4148W,D_SOD-123,272.8375,-116.7125,90,bottom
D54,1N4148W,D_SOD-123,272.8375,-135.7625,90,bottom
D55,1N4148W,D_SOD-123,290.696875,-135.7625,90,bottom
D56,1N4148W,D_SOD-123,293.078125,-135.7625,90,bottom
D57,1N4148W,D_SOD-123,23.996875,-111.95,90,bottom
D59,1N4148W,D_SOD-123,26.378125,-111.95,90,bottom
D60,1N4148W,D_SOD-123,6.1375,-131,90,bottom
D61,1N4148W,D_SOD-123,27.56875,-131,90,bottom
D62,1N4148W,D_SOD-123,29.95,-131,90,bottom
D63,1N4148W,D_SOD-123,68.05,-131,90,bottom
D64,1N4148W,D_SOD-123,134.725,-131,90,bottom
D65,1N4148W,D_SOD-123,175.20625,-131,90,bottom
D66,1N4148W,D_SOD-123,197.828125,-131,90,bottom
D67,1N4148W,D_SOD-123,222.83125,-131,90,bottom
D68,1N4148W,D_SOD-123,244.2625,-131,90,bottom
D69,1N4148W,D_SOD-123,216.878125,-111.95,90,bottom
D71,1N4148W,D_SOD-123,233.546875,-111.95,90,bottom
D72,1N4148W,D_SOD-123,241.88125,-73.85,90,bottom
D73,1N4148W,D_SOD-123,256.16875,-92.9,90,bottom
D74,1N4148W,D_SOD-123,226.403125,-92.9,90,bottom
D76,1N4148W,D_SOD-123,231.165625,-54.8,90,bottom
D78,1N4148W,D_SOD-123,268.075,-54.8,90,bottom
J1,JST-SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,270.45625,-62.675,90,bottom
Q1,2N7002,SOT-23,299.0375,-117.2,180,bottom
R1,10k,R_0805_2012Metric,297.125,-114.25,0,bottom
R2,10k,R_0805_2012Metric,305.05,-113.1,-90,bottom
R3,100k,R_0805_2012Metric,300.95,-114.25,0,bottom
R4,150,R_0805_2012Metric,3.95,-97.2625,90,bottom
R5,150,R_0805_2012Metric,194.0625,-134.43,180,bottom
SW1,TS-1187A-B-A-B,SW_SPST_TL3342,303.8625,-106.2875,-90,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,291.88876,-93.63142,90,bottom
U2,XC6206P332MR,SOT-23,272.45625,-70.85,90,bottom
